plate,review_reason_code,customer_meaning,reviewer_comments,status,our decision,notes
1964RAG,2,1964 IS THE YEAR OF THE VEHICLE AND RAG IS ANOTHER WORD FOR CONVERTIBLE.,RAG CAN BE A DEROGATORY TERM FOR A WOMAN,Y,N,contains the restricted letter combinationRAG
2OOH8,2,REPRESENTS THE YEAR I GRADUATED HIGH SCHOOL AND ONE OF THE BEST YEARS OF MY LIFE.,"HATE, HOSTILE",N,Y,Approved
31OH55A,3,DIVISION 310 HEFE (BOSS OF DIVISION 10 IE SPECIALTIES),ASSHOLE BACKWARDS,N,Y,Approved
35713,6,MY FAVORITE NUMBERS,ALL DIGITS,Y,N,"[('reestie', 83.33333333333334, 741)]"
42OGROW,7D,LEGAL GROW,"42O, DRUG REFERENCE TO MARIJUANA",N,Y,Approved
5S5SS5S,6,I LIKE 5 AND S,THE LETTERS AND NUMBERS ALL LOOK ALIKE,N,Y,Approved
515OKTY,1,CRAZY KITTY,"CRAZY KITTY, COULD BE TAKEN AS SEXUAL",N,Y,Approved
619KINE,2,OF OR FROM SAN DIEGO,AREA CODE,N,Y,Approved
62DO12G,2,62DO12G NO MEANING,"G, GANG REFERENCE",N,Y,Approved
64GLASS,7D,A 1964 VW WITH A FIBERGLASS BODY-GLASS IS SHORT FOR FIBERGLASS,"GLASS CAN BE ANOTHER WORD FOR METH, DRUG REFERENCE",Y,N,contains the restricted letter combinationASS
7777G,2,LUCK NUMBER AND LAST NAME INITIAL,"G, GANG REFERENCE",N,Y,Approved
8MDLS88,2,INITIAL AND LUCKY NUMBER,"88, GANG REFERENCE",N,Y,Approved
8O5BOSS,2,BOSS,AREA CODE,N,Y,Approved
811GS,2,DADS CALL SIGN,"G, GANG REFERENCE",Y,N,bi
88XJ4X4,2,DADS CALL SIGN,"88, GANG REFERENCE",N,Y,Approved
BLU#ADA,2,"""ADA"" IS OUR KID'S WORD FOR CAR AND OUR CAR IS BLUE.","BLUE, GANG REFERENCE",Y,N,invalid characters
PRS$STI,1,PRISCILLA LOVES SUBARU TECHNICA INTERNATIONAL  (STI),STI CAN STAND FOR SEXUAL TRANSMITTED INFECTION,Y,N,invalid characters
BTFL13,2,BEAUTIFUL 13,"13, GANG REFERENCE",N,Y,Approved
TRMNTR,2,THIS MODEL WAS NICK NAMED THE TERMINATOR,TERMINATOR MAY BE OFFENSIVE OR HOSTILE TO SOME,N,Y,Approved
X5OCAL,2,JOB DISCRIPTION IN THE MILITARY,"COULD BE REFERENCING A 5O CALIBER BULLER, WEAPON REFERENCE",N,Y,Approved
AWFMY6,2,DO NOT TAILGATE,"OFF MY 6 OR OFF MY ASS, SOME MAY FIND HOSTILE",N,Y,Approved
BCHPLUM,3,WE LIVE NEAR THE BEACH AND OUR LAST NAME IS PLUMMER,"BCH, CAN BE SHORT FOR BITCH",Y,N,contains the restricted letter combinationCHP
BUDS3RD,7D,I AM MY FATHERS 3RD CHILD.,"BUD, MARIJUANA REFERENCE",N,Y,Approved
FNPARNT,3,FUN PARENT,"FN CAN STAND FOR FUCKING, PROFANITY",N,Y,Approved
GOOBLUU,2,GO BLUE IS A COMMON EXPRESSION OF SUPPORT FOR UNIV. OF MICHIGAN,"BLUE, GANG REFERENCE",Y,N,"[('gob', 85.71428571428572, 435)]"
MNMNMNN,6,ALMA MATER,THE LETTERS ALL LOOK THE SAME,N,Y,Approved
MYPNUT2,1,ORIGINAL CIVIC NAMED PEANUT. NAMED THIS CIVIC PEANUT ALSO. NICKNAME FOR CAR,"NUTS, SEXUAL REFERENCE",N,Y,Approved
QURYSFX,3,CURIOUS FOX (BUSINESS NAME),FX COULD STAND FOR FUCKS,N,Y,Approved
USTLHRE,2,ARE YOU STILL HERE,"YOU, HOSTILE",Y,N,"[('hustler', 90.0, 492)]"
WHATFDA,3,WHAT FOOD AND DRUG ADMINISTRATION,FDA CAN STAND FOR FUCK DAT ASS,N,Y,Approved
YUH8TN1,2,MEANINGLESS,"HATE, HOSTILE",N,Y,Approved
ZRFXGVN,3,ZERO FUCKS GIVEN,ZERO FUCKS GIVEN,N,Y,Approved
1321,2,ROCK UNDERWORLD,"13, GANG REFERENCE",N,Y,Approved
ASCOT 18,2,COMPANY NAME AND FLEET NUMBER,18 = GANG NUMBER (Ascot Limousine Service),Y,N,invalid length
CHEEKS M,1,MY LAST NAME,"PULLED FOR CHEEKS (CHEEKS already released, customer is Mary Cheeks)",Y,N,invalid length
D BK 9,2,THE BACK NINE,PULLED FOR BK,Y,N,invalid characters
HELLCUB,3,FOR MY HELLCUB CHARGER,PULLED FOR HELL (2015 dodge on record),Y,N,contains the restricted letter combinationHEL
JUSJE 5O,5,NO MICRO,"PULLED FOR 5O (No Ford auto on record, only ford trucks)",Y,N,invalid length
KAY BOSS,2,BUSINESS NAME,PULLED FOR BOSS,Y,N,invalid length
LAK CK,2,INITIALS,PULLED FOR CK,Y,N,invalid characters
LTTLE 5O,5,MY TRUCK,PULLED FOR 5O (Ford Trucks on record),Y,N,invalid length
OG 69LRK,2,ORIGINAL 1969 SKYLARK,PULLED FOR OG (1969 BUICK ON ANI),Y,N,invalid length
BARETTA,2,MY DAD'S NICKNAME,GUN,N,Y,Approved
BJERKES,2,NO MEANING ON REG 17,BE JERKS? (Plate alrady released. Denying would require recall),Y,N,jerk
X14MOM,2,LUCKY,14 = GANG NUMBER,N,Y,Approved
DGS14,2,"INITIALS FOR MY NICKNAME, DR. GRANNY SMITH, AND YEAR I EARNED MY DOCTORAL DEGREE","14, GANG REFERENCE",N,Y,Approved
THABD,2,TIMBER HERITAGE ASSOCIATION BOARD,BD CAN STAND FOR BLACK DISCIPLE,N,Y,Approved
AFMEDIC,3,I WAS A MEDIC IN THE USAF,AF MOST LIKELY STANDS FOR AIR FORCE BUT IT CAN STAND FOR AS FUCK,Y,N,contains the restricted letter combinationDIC
ANAYA69,1,LAST NAME,"69, SEXUAL REFERENCE",N,Y,Approved
ANGERRA,2,NAME OF FAMILY,"""ANGELA"" BUT IN AN ASIAN ACCENT, SOME COULD FIND IT OFFENSIVE",Y,N,"[('flange', 90.0, 388)]"
ATEFOR7,1,ORIGINAL AREA CODE,"ATE, SEXUAL REFERENCE",N,Y,Approved
BQMB5O,2 OR 5,BEING QUTE MY BEAUTIFUL 5O,"BQMB LOOKS LIKE BOMB, WEAPON REFERENCE AND 5O IS A LAW ENFORCEMENT REFERENCE",N,Y,Approved
BUDZ74,7D,,BUD CAN BE A REFERENCE TO MARIJUANA,N,Y,Approved
BUGOFFF,3,VW BEETLE,SIMILAR TO FUCK OFF,N,Y,Approved
CRDKILR,2,CROWD CONTROL (MUSTANG JOKE),"KILLER, HOSTILE",N,Y,Approved
DARLS14,2,PET NICKNAME,"14, GANG REFERENCE",N,Y,Approved
DGHUS13,2,NICKNAME,"13, GANG REFERENCE",N,Y,Approved
GLCK19,2,HGH SCHOOL NICKNAME,"GLCK IS SIMILAR TO GLOCK, WEAPON REFERENCE",N,Y,Approved
GLDHE8R,1,GLADIATOR,"""GLADIATOR"" BUT IT ALSO COULD BE GLAD HE ATE HER, SEXUAL REFERENCE",N,Y,Approved
GSWEET1,2,FOR MY GRANDCHILDREN,"G, GANG REFERENCE",N,Y,Approved
GTNFDED,7D,MY BARBER NAME,GETTING FADED,N,Y,Approved
HICAIRS,7D,HIGH SIERRAS,"HIGH, DRUG REFERENCE",Y,N,contains the restricted letter combinationHIC
ICEKING,7D,HOCKEY FAN,ICE CAN BE ANOTHER NAME FOR A DRUG SIMILAR TO METH,Y,N,"[('fcking', 83.33333333333334, 1054)]"
JIVTRKY,2,"IT'S A ABBREVIATION FOR ""JIVE TURKEY"" AN OLD SAYING THAT MY FATHER WOULD USE",JIVE TURKEY CAN BE A DEROGATORY TERM,Y,N,ky
LUVNKAT,1,LOVING KAT,"CAT, SEXUAL REFERENCE",N,Y,Approved
MFTIBBS,3,MOTHER AND FATHERS FIRST INITIALS AND LAST NAME,MF CAN STAND FOR MOTHER FUCKING OR MOTHER FUCKER,N,Y,Approved
MRDABZ,7D,CAM NEWTON DABS,DABS IS A REFERENCE TO MARIJUANA,N,Y,Approved
PKTROKT,1,POCKET ROCKET,"POCKET ROCKET, SEXUAL REFERENCE",N,Y,Approved
POPSYP,1,WE CALL HIM POPSY,THE P COULD STAND FOR PUSSY,N,Y,Approved
PSYKEDR,1,"THIS IS MEANT TO REFER TO MY WIFE'S DOCTORAL DEGREE.  SHE IS A ""PSYCHOLOGY DOCTOR""","PSY STANDS OUT, CAN BE SHORT FOR PUSSY",N,Y,Approved
RBB88,2,"FIRST NAME, MIDDLE NAME, LAST NAME, YEAR BORN","88, GANG REFERENCE",N,Y,Approved
REDSFAN,2,BASEBALL CINCINNATI REDS FAN,"RED, GANG REFERENCE",Y,N,contains the restricted letter combinationFAN
ROCMA13,2,COUNTRY,"13, GANG REFERENCE",N,Y,Approved
SMDDMV,3,INITIALS,SMD STANDS FOR SUCK MY DICK,N,Y,Approved
TATA929,1,NAME OF THE DRIVER AND FAMILY LUCKY NUMBER,TATA CAN BE ANOTHER WORD FOR BREASTS,N,Y,Approved
WKNBK,7D,KIDS INITIALS,"WAKE AND BAKE, DRUG REFERENCE",N,Y,Approved
1974RAG,2,IT'S A CONVERTIBLE CAR,RAG CAN BE A DEROGATORY TERM FOR A WOMAN,Y,N,contains the restricted letter combinationRAG
69GPSTR,1,"""1969 JEEPSTER"" THE PLATE IS FOR A  1969 JEEPSTER COMMANDO","69, SEXUAL REFERENCE (HAS 1969 KAISER JEEPSTER)",Y,N,contains the restricted letter combinationPST
CUL8DER,2,,"YOU, HOSTILE",Y,N,contains the restricted letter combinationCUL
4RTT,1,,"TT SIMILAR TO TITTIE, SEXUAL REFERENCE",N,Y,Approved
DPBENG5,1,,LOOKS SIMILAR TO DEEP BANG,N,Y,Approved
OGJAG,2,OWNERS INITIALS & CAR,"OG, GANG REFERENCE",N,Y,Approved
PASZGAZ,3,NO GAS NEEDED-ELECTRIC CAR,"PASS GAS, SOME MAY FIND INAPPROPRIATE",N,Y,Approved
9O584,6,WEDDING DATE 09/05/1984,ALL DIGITS,Y,N,"[('gob', 85.71428571428572, 435)]"
SEEUON9,2,LOCATION,"YOU, HOSTILE",N,Y,Approved
MP8JC88,2,NO SPECIAL MEANING,"88, GANG REFERENCE",N,Y,Approved
NOMOJ4U,7D,,"NO MORE J FOR YOU, THE J COULD STAND FOR JOINT",N,Y,Approved
AAONG88,2,ALLAN & AILEEN ONG 88,88 HITLER REFERENCE,N,Y,Approved
BAMA NO1,2,ALABAMA NUMBER 1,BAMA (DC Slang for bad dresser also just like dude),Y,N,invalid length
BDAS3O2,3,MY KIDS INITIALS AND THE MODEL OF THE CAR,BAD ASS,N,Y,Approved
BLU 5OH,4,BLUE MUSTANG,50 AS IN MUSTANG OR COP (Ford on ANI),Y,N,invalid characters
CWBYS88,2,DALLAS COWBOYS AND MY FAVORITE FOOTBALL PLAYER NUMBER.,88 HITLER REFERENCE,N,Y,Approved
GOZIRAA,2,NICKNAME FOR CAR,GODZILLA WITH A HEAVY ACCENT,N,Y,Approved
GRAPPLE,2,I GRAPPLE AS A HOBBIE AND PROFESSION,FIGHT,Y,N,"[('nipple', 90.0, 88)]"
G19OW6,6,INITIALS AND FRATERNITY YEAR,LOOK A LIKE,N,Y,Approved
HOPHNTR,2,HOP HUNTER. IN SEARCH FOR HOPS TO BREW IN BEER.,HUNTER,Y,N,ho
H4N 5O7O,6,"HAN SOLO IN LEETSPEAK, WHICH IS A SORT OF COMPUTER NERD LANGUAGE",HAN SOLO,Y,N,invalid length
ITSAGS1,1,ITS A GAS,IT SAGS,N,Y,Approved
ITSAGS2,1,ITS A GAS,IT SAGS,N,Y,Approved
JUCEBX1,1,JUICE BOX,JUICE BOX,N,Y,Approved
KAT ZAG,1,,CAT,Y,N,invalid characters
LNCHBX1,1,LUNCH BOX,LUNCH BOX,Y,N,"[('lynch', 88.88888888888889, 593)]"
OX8X8XO,2,"NO MEANING, IT'S A PATTERN",88 HITLER REFERENCE,N,Y,Approved
PEASENT,2,MY GREAT ANCESTORS WERE THE WORKING AND BLUE COLLAR TYPE. OUR ORGINAL FAMILY NAME WAS PEASANT. THIS IS TO PAY RESPECT TO ANCESTORS,PEASANT (PEASANT released in 2008. no complaints),Y,N,contains the restricted letter combinationPEA
PEAZANT,2,MY GREAT ANCESTORS WERE THE WORKING AND BLUE COLLAR TYPE. OUR ORGINAL FAMILY NAME WAS PEASANT. THIS IS TO PAY RESPECT TO ANCESTORS,PEASANT (PEASANT released in 2008. no complaints),Y,N,contains the restricted letter combinationPEA
Q5OS TT,1,FOR AN INFINITI Q50S TWIN TURBO MODEL CAR.,TT AS IN BREAST (2016 Infiniti on ANI),Y,N,invalid characters
RAMTIME,1,,RAM TIME,N,Y,Approved
STEZMOB,2,"FAMILY MOTTO, SUCCESS, TAKES",MOB,N,Y,Approved
TACOX,1,,TACO,N,Y,Approved
TFIMJRH,,MOM'S SECRET NAME,CAN NOT TRANSLATE,N,Y,Approved
TOO SEXY,1,IT IS A HUMOROUS MOCK OF THE UNSIGHTLY VEHICLE THAT I DRIVE.,TOO SEXY,Y,N,invalid length
TWRKVAN,1,"WORK VAN, THE T IS SILENT.",TWERK VAN,N,Y,Approved
TYMES69,1,,69 SEXUAL REFERENCE (No 60 on ANI),N,Y,Approved
TZ A 69,1,THE YEAR MODEL OF MY AUTO IS A 1969,69 SEXUAL REFERENCE (69 On ANI),Y,N,invalid characters
VMC AUS,3,VETERANS MOTORCYCLE CLUB AUSTRALIA,AUS COULD MEAN AUSSIE OR AUSTRALIA,Y,N,invalid characters
WTNY KTS,1,,KATS,Y,N,invalid length
X88B88H,2,,88 HITLER REFERENCE,N,Y,Approved
YULL CAT,1,,CAT,Y,N,invalid length
ZA MICH,2,ZAMORA MICHOACAN,THE MITCH ANOTHER NAME FOR BITCH,Y,N,invalid characters
ZED BLUE,2,BLUE CAR,BLUE,Y,N,invalid length
298OOR1,6,,LOOK A LIKE,N,Y,Approved
51 WUDIE,1,,WOODY (Has 1950 Mercury Woody),Y,N,invalid length
KMG SOUP,1,,SOUP,Y,N,invalid length
MCMF,3,MARINE CORPS MARTIME FORCE,MC MOTHER FUCKER,N,Y,Approved
ZFSGVN,3,ITS FROM A SCI-FI BOOK SOMETHING ABOUT CHEMISTRY?,O FUCKS GIVEN,N,Y,Approved
BLWN CRZ,D7,,BLOWN CRAZY SMOKING (HONDA ON ANI),Y,N,invalid length
I BLOOPY,2,NICKNAME,I BE LOOPY,Y,N,invalid length
ILWU42O,D7,WORK NUMBER,I LOVE WHEN YOUR HIGH 420,N,Y,Approved
MOO BOIS,2,COWBOYS FOOTBALL TEAM,MOVE BOY,Y,N,invalid length
YMYFRXN,,CLOTHING BRAND LABEL NAME YUMMY FRICTION ™,CAN NOT TRANSLATE,N,Y,Approved
FWETAY,,,CAN NOT TRANSLATE,N,Y,Approved
ALI1313,2,,13 GANG REFRENCE,N,Y,Approved
ARCEFAM,3,ARCE- MY LAST NAME FAM- FAMILY,ASS FAM,N,Y,Approved
BAWSY,2,"BOSSY BUT SPELLED WITH A W. ORDERING PEOPLE AROUND, AUTHORITATIVE, DOMINEERING",BALLSY,N,Y,Approved
BBEFEME,,,BEFEME,N,Y,Approved
BLIZZ69,1,BLIZZ = WHITE BLIZZARD PAINT COLOR OF CAR; 69 = BIRTH YEAR,69 SEXUAL,N,Y,Approved
BLU LYT,2,BLUE LIGHT - A SONG BY PRINCE (1995) AUTISM AWARENESS,BLUE LIGHT,Y,N,invalid characters
CHFINSP,,CHIEF INSPECTOR,,Y,N,"[('chin', 88.88888888888889, 273)]"
CLOM650,2,FRIEND MUSIC GROUP FOLLOWED BY AREA CODE,650 AREA CODE,N,Y,Approved
DG2THDK,1,,CAN NOT TRANSLATE,N,Y,Approved
EFFITUP,3,GRANDFATHERS LAST NAME,FUCK IT UP,N,Y,Approved
FCDM,3,FAMILY MEMBER FIRST NAME INITIALS,FUCK THEM,N,Y,Approved
FYPAYME,3,"FOREVER YOUNG IS THE NAME OF MY CLOTHING LINE AND "" PAY ME "" IS WRITTEN ON THE FIRST SHIRT EVER RELEASED BY US.",FUCK YOU PAY ME,N,Y,Approved
GAS PASS,2,ELECTRIC CAR PASSING THE GAS STATIONS,GAS PASS PASS GAS,Y,N,invalid length
HBLHSTL,2,HUMBLE HUSTLE,HUSTLE,N,Y,Approved
I8ABXTR,2,,I ATE A BOXTER,N,Y,Approved
JLRGE 1 1,2,NICK NAME AND FAVORITE NUMBER,J LARGE,Y,N,invalid length
K2F1,1,"KEY 2 FITNESS IS THE NAME OF THE COMPANY I OWN. IT'S SHORTHAND, AND 1 OF 2 CARS I OWN",OK TO F ONE,N,Y,Approved
LYSP,2,,LYSP,N,Y,Approved
MIONE13,2,LAST NAME AND LUCKY NUMBER,13 GANG REFRENCE,N,Y,Approved
O211CA1,,,NOT SURE IF THIS IS A  LOOK A LIKE,N,Y,Approved
O311CA2,,MILITARY MOS,NOT SURE IF THIS IS A LOOK A LIKE,N,Y,Approved
ULLOA18,2,IT IS MY LAST NAME AND THE AGE I WAS WHEN I GOT MY CAR,18 HITLER REFERENCE,N,Y,Approved
1AMOCAT,1,TACOMA SPELLED BAC,AMMO,N,Y,Approved
1DK KNHT,2,,1 DARK KNIGHT DK LOOKS LIKE PENIS,Y,N,invalid length
1KLZR,2,,1 KILLS,N,Y,Approved
6ET8ENT,2,GETTING BENT OUT SHAPE,GET BENT,N,Y,Approved
CADI KAT,1,,CAT,Y,N,invalid length
FC9O7,3,THE SAME PLATE NUMBER AS THE ONE I HAVE IN OTHER COUNTRY,FUCK 907,N,Y,Approved
HETZER5,2,MY ONLINE NAME,HETZERS IS A TANK GERMAN ARMY TANK,N,Y,Approved
SNO WIT,d7,DISNEY CHARACTER SNOW WHITE,SNOW WHITE,Y,N,invalid characters
1RUINDZ,1,RUINED NISSAN 370Z,RUIN DEEZ AS IN DEEZ NUTS,N,Y,Approved
BAMA N1,,IM AN ALABAMA GRADUATE AND THEIR FOOTBALL TEAM IS PRETTY GOOD SO ID LIKE TO ADVETTISE THAT.,"BAMA CAN BE A DEROGATORY TERM (DC Slang for sloppy dresser, also used like ""dude.""",Y,N,invalid characters
BANG8,,MY CAR LOOKS LIKE A BOX,BANG IT,Y,N,"[('bangbus', 83.33333333333334, 5)]"
CHASE 18,,LAST NAME AND SPORTS NUMBER,18 HITLER REFERENCE,Y,N,invalid length
CHICOL1,,MI CHILDHOOD NICK NAME,CHICO L OR CHICOLI WITH SUBSTITUTION (No CHICOLI plate released),Y,N,contains the restricted letter combinationHIC
CIGAR8,,IT JUST MEANS THAT I LIKE CIGARS,LOOKS LIKE CIGARRETTE,N,Y,Approved
CMYFRAM,,,C MY F RAM FUCKING RAM,N,Y,Approved
DB MOB,,THE LISCENCE PLATE SHOWN DECRIBES MY CAR CREW THAT HOST EVENTS FOR THE PUBLIC AND FOR CHILDREN TO HAVE FUN,MOB,Y,N,invalid characters
FAT 2ACK,,FIRST AVAILABLE TO ATTACK,FAT,Y,N,invalid length
GALLO13,,,13 GANG REFEENCE4,N,Y,Approved
GOAT 666,,MY CAR IN THE 60S WAS CALLED A GOAT,666 DEVIL,Y,N,invalid length
HAWLZAZ,,FAST,HAULS ASS,N,Y,Approved
HYE LIMO,,,HYE (HI LIMO released),Y,N,invalid length
IH8MYEX,,BAD BREAK UP,HATE,N,Y,Approved
LOLLY14,,MY DAUGHTER'S NICK NAME AND HER BIRTH YEAR,14GANG REFERENCE,N,Y,Approved
MICH OSO,,,MICH ANOTHER WORD FOR BITCH,Y,N,invalid length
MVINSX,,,MOVING SEX,N,Y,Approved
NAOHVAJ,,MY DAD NAME,VAJ VAGINA,N,Y,Approved
NN6AA3,,MY AMATEUR RADIO CALL SIGN WITH THE 3 ADDED,LOOK A LIKE,N,Y,Approved
NO 666,,"666 IS THE SIGN/MARK OF THE END OF DAYS, I AM SAYING NO TO THE MARK.",NO DEVIL,Y,N,invalid characters
PAXUCO,,TOWN MY FAMILY IS FROM IN MEXICO,JUVENILE GANG MEMBER,N,Y,Approved
SURF HOG,,LOVE TO SURF. I WANT THE WHOLE WAVE.,HOG,Y,N,invalid length
TRILL2G,,IT REPRESENTS MY MUSIC NAME,G AS IN GANGSTER,N,Y,Approved
VMINSX,,,CAN NOT TRANSLATE,N,Y,Approved
WODE8HU,,,CAN NOT TRANSLATE,N,Y,Approved
WQYN209,,"MY FCC CALLSIGN FOR RADIO OPERATION, NO MEANING OTHER THAN PERSONALIZATION OF MY VEHICLE",209 AREA CODE,N,Y,Approved
14 SNKE,,2014 SNAKE,14 GANG REFERENCE (Ford 2Dr on record),Y,N,invalid characters
2LCHONA,,TOWN OF DANCE,BIG BOOBS,Y,N,ho
4NTHANG,,MERCEDES,FOREIGN THANG,Y,N,"[('tang', 88.88888888888889, 835)]"
4SRH88,,"THE NUMBER (4), S IS FOR STEPHANIE, R IS FOR REINA, H IS FOR HERNANDEZ, AND 88 IS THE YEAR OF MY BIRTH.",88 HITLER REFERENCE,N,Y,Approved
88DEF13,,88 IS FOR MY BIRTHDAY AUGUST 8TH. DEF IS A WORD FROM RAP/HIP HOP MUSIC MEANING COOL. 13 IS THE NUMBERS I USE FOR MY GAMERTAG FOR ONLINE PLAYSTATION USE,13 GANG REFERENCE,N,Y,Approved
$CC510,,,510 AREA CODE (several BMWs on record),Y,N,invalid characters
RTNFIR,,RETURN FIRE..ARMY TACTICS,CAN NOT TRANSLATE,N,Y,Approved
DMMTJIM,,DMMTJIM,DAMN IT JIM,N,Y,Approved
FISHVAR,,IT'S MY HOMETOWN IN IRAN,FISH (Is a town in Iran),Y,N,"[('jimfish', 90.0, 521)]"
8LDYSCM,,,LADY SCAM,N,Y,Approved
OGHARLY,,OLD GUYS HARLY,OG ORIGINAL GANGSTER,N,Y,Approved
AMNUTS6,2,MY BUSINESS NAME,"I AM NUTS, SLANG FOR CRAZY",N,Y,Approved
ASHLEE 8,1,THIS IS MY NICK NAME AND 8 IS MY FAVORITE NUMBER,ashlee ate,Y,N,invalid length
BLWNAPX,1,ROTARY ENGINES ARE KNOWN FOR HAVING THEIR APEX SEALS BLOWN AND RUINING THE MOTOR,blown can be sexual,Y,N,wn
BRSRK96,,INITIALS OF FRIENDS AND BIRTH YEAR,BERSERK=violently or destructively frenzied; wild; crazed; deranged:,N,Y,Approved
BUDDY14,2,NICKNAME,"14=HATE SYMBOL, NO 2014 CAR ON ANI",N,Y,Approved
B 7 KY,1,7 IS MY FAVORITE NUMBER AND KY IS WHAT PEOPLE CALL ME,NAME IS KIKY… KY COULD HAVE A SEXUAL CONNOTATION,Y,N,invalid characters
CANICON,7D,CHILDHOOD NICK NAME GIVEN WHEN GROWING UP..SPANISH.,EL CANICON WAS A MEXICAN DRUG CARTEL LEADER… OK? GOOGLE SAYS IT MEANS 'BIG MARBLE' JUST PULLED FOR THE DRUG REFERENCE,Y,N,contains the restricted letter combinationCON
CATLESS,1,I DON'T OWN ANY CATS SO I AM CATLESS,CAT=PUSSY,Y,N,"[('topless', 83.33333333333334, 157)]"
CD1DOMA,3,BE HOME BY YOURSELF,CODE 1 DOMA… DU MA=DAMN IT OR MOTHERFUCKER IN VIETNAMESE (ALSO DEFENSE OF MARRIAGE ACT DENYING LBGT THE RIGHT TO MARRY),N,Y,Approved
CRASHO1,2,ONLY BECAUSE I HAD A SMALL ACCIDENT,CRASH,Y,N,crash
CRTLMSL,7d,TRADE MARK NAME TO A CLOTHING LINE BUSINESS LINE,cartel muscle,N,Y,Approved
EMICU88,2,MY FIRST NAME EDUARDO AND MY LAST NAME MICU.,"88=HATE SYMBOL, NO 88 CAR ON ANI",N,Y,Approved
FLTBUNZ,1,FLATBUNZ ITS WHAT MY FRIENDS CALL ME,FLAT ASS,Y,N,contains the restricted letter combinationBUN
FOOOOF,1,PHRASE,foof=vagina,N,Y,Approved
GD2BEHI,7D,"MY OLD CAR (OF 17YRS) I WAS VERY LOW TO THE GROUND, NOW I HAVE A 4X4 AND I SIT HI IN MY CAR! I CAN SEE!!!","GOOD TO BE HIGH, DRUG CONNOTATION, she has a 2016 jeep",N,Y,Approved
HH SOAP,2,I MAKE SOAP,HH=HATE SYMBOL,Y,N,invalid characters
HUNTCRZ,2,HUSB LOVES TO HUNT,"hunt crazy, BECAUSE OF CRAZY",Y,N,hun
H88L88G,2,"INITIALS OF MY DAUGHTER, HUSBAND, AND MY 1ST NAME. 8 IS OUR LUCKY NUMBER","88=HATE SYMBOL, NO 88 CAR ON ANI",N,Y,Approved
IEATSRT,2,FORD IS BETTER THAN DODGE,eat,N,Y,Approved
IOMTA3,1,"I OWE MONEY TO ALL 3 (HOUSE PAYMENT, CAR PAYMENT, MY PARENTS",EAT MOI,N,Y,Approved
JBS916R,2,INITIALS AND WHERE IM FROM,"916 SACRAMENTO AREA CODE, JB IS CUSTOMER INITIALS",N,Y,Approved
JG4O8SS,2,JESUS GALINDO AREA CODE 408 SS,408 SAN JOSE AREA CODE,N,Y,Approved
JPROOTS,2,JAPAN ROOTS,JAP?,N,Y,Approved
KLRBOSS,2,"THE MEANING IS THAT THE CAR IS KILLER LOOKING, LIMITED PRODUCTION CAR",KILLER,N,Y,Approved
K9HHNTR,2,"THIS IS IN DEDICATION TO MY WORKING BOMB DOG NAMED, HHUNTER, HE IS NAMED AFTER A FALLEN FIRE FIGHTER JOSEPH HHUNTER ON 9/11",dog hunter? Also HH=heil Hitler,N,Y,Approved
L CHEFE,2,THE CHEF,"HEFE=BOSS, GANG CHIEF",Y,N,invalid characters
MVLRV69,1,MARTIN VARELA LOVES ROSARIO VARELA 69 YEAR THAT IBORN,"69 CAN HAVE SEXUAL CONNOTATIONS, NO 69 CAR ON ANI",N,Y,Approved
MYGMC13,2,MY CAR IS A GMC AND IT IS A 2013,"ani shows an 02 GMC, 13=GANG NUMBER",N,Y,Approved
MYTOTON,1,ITS MY NICKNAME CALLED BY NEPHEWS IN THE FAMILY,TOTON=NIPPLE IN FRENCH OR BOOB,N,Y,Approved
N2OEATR,2,N20 EATER,EAT,N,Y,Approved
OBNUG,7D,ONE BRONCO NATION UNDER GOD,"NUG=WEED, BUT THIS ACRONYM FOR THE BRONCOS DOES COME UP WITH A GOOGLE SEARCH",N,Y,Approved
OHJAY93,4,MY SON'S NAME IS JASON. I'M GOING TO BE GIVING HIM THIS BRONCO IN A FEW YEARS. IT'S A 1993,"NO 1993 FORD ON ANI, 1993 BRONCO IS WHAT OJ SIMPSON WAS DRIVING AWAY IN… OKAY?",N,Y,Approved
OLD YELA,2,OLD YELLER IS A 1957 AMERICAN DRAMA FILM PRODUCED BY WALT DISNEY.,"YELLOW CAN REFER TO SOMEONE'S RACE OR COLOR, THERE ARE SOME SIMILAR PLATES OUT THERE THOUGH",Y,N,invalid length
PC88,2,NAME INITIAL AND LUCKY NUMBER,88=HATE SYMBOL,N,Y,Approved
PINKBOT,1,SHORT FORM FOR PINK COLOR AUTO ROBOT,PINK=VAGINA,N,Y,Approved
PRP8GLD,4,PURPLE AND GOLD LAKER COLORS,"PROP 8---ELIMINATED THE RIGHT OF SAME SEX COUPLES TO MARRY IN CALIFORNIA, FOR A TIME UNTIL IT WAS OVERTURNED",N,Y,Approved
ROKWOOD,1,I HAVE A ROCK N ROLL CLOTHING LINE CALLED ROCKWOOD,WOOD=AN ERECTION,N,Y,Approved
RVBRLEC,2,FRIENDS INITIALS,SELL OUR BEAVER BACKWARDS…,N,Y,Approved
SHVED,1,RUSSIAN NICKNAME OF ME,"SHAVED, COULD BE SEXUAL",N,Y,Approved
SNISTRO,2,CAR CLUB,"sinister=threatening or portending evil, harm, or trouble",Y,N,"[('destroy', 90.0, 325)]"
